iter	Passed	Remaining
966	65971	15895
967	66034	15826
968	66112	15760
969	66187	15693
970	66257	15626
971	66317	15555
972	66385	15487
973	66450	15418
974	66521	15351
975	66587	15282
976	66663	15216
977	66726	15146
978	66785	15076
979	66833	15003
980	66893	14933
981	66963	14865
982	67043	14800
983	67116	14732
984	67211	14670
985	67276	14601
986	67348	14534
987	67415	14465
988	67489	14398
989	67548	14328
990	67611	14259
991	67678	14190
992	67758	14124
993	67830	14057
994	67908	13991
995	67976	13922
996	68052	13856
997	68119	13787
998	68208	13723
999	68275	13655
1000	68358	13589
1001	68431	13522
1002	68501	13454
1003	68551	13382
1004	68616	13313
1005	68685	13245
1006	68760	13178
1007	68838	13112
1008	68909	13044
1009	68982	12976
1010	69052	12909
1011	69120	12840
1012	69188	12772
1013	69256	12703
1014	69335	12637
1015	69390	12566
1016	69461	12499
1017	69528	12430
1018	69600	12362
1019	69659	12292
1020	69730	12225
1021	69794	12155
1022	69868	12088
1023	69932	12019
1024	69993	11950
1025	70054	11880
1026	70121	11812
1027	70187	11743
1028	70258	11675
1029	70325	11607
1030	70403	11540
1031	70471	11472
1032	70541	11404
1033	70609	11335
1034	70696	11270
1035	70754	11200
1036	70823	11132
1037	70888	11063
1038	70961	10996
1039	71034	10928
1040	71106	10860
1041	71170	10791
1042	71233	10722
1043	71295	10653
1044	71385	10588
1045	71463	10521
1046	71535	10453
1047	71604	10385
1048	71690	10319
1049	71752	10250
1050	71823	10182
1051	71920	10118
1052	71994	10050
1053	72065	9982
1054	72137	9914
1055	72211	9846
1056	72288	9779
1057	72356	9711
1058	72422	9642
1059	72488	9573
1060	72563	9506
1061	72624	9437
1062	72675	9366
1063	72755	9299
1064	72834	9232
1065	72904	9164
1066	72973	9096
1067	73022	9025
1068	73096	8957
1069	73166	8889
1070	73245	8822
1071	73311	8753
1072	73379	8685
1073	73447	8616
1074	73516	8548
1075	73573	8478
1076	73641	8410
1077	73704	8341
1078	73791	8275
1079	73861	8206
1080	73938	8139
1081	74003	8070
1082	74077	8002
1083	74143	7934
1084	74229	7867
1085	74294	7798
1086	74370	7731
1087	74427	7661
1088	74498	7593
1089	74558	7524
1090	74630	7456
1091	74691	7387
1092	74762	7318
1093	74823	7249
1094	74885	7180
1095	74948	7111
1096	75026	7044
1097	75085	6975
1098	75149	6906
1099	75208	6837
1100	75289	6769
1101	75346	6700
1102	75421	6632
1103	75494	6564
1104	75567	6496
1105	75629	6427
1106	75706	6360
1107	75783	6292
1108	75853	6224
1109	75921	6155
1110	75991	6087
1111	76052	6018
1112	76122	5950
1113	76189	5881
1114	76259	5813
1115	76320	5744
1116	76387	5676
1117	76457	5607
1118	76529	5539
1119	76592	5470
1120	76662	5402
1121	76723	5333
1122	76791	5265
1123	76859	5196
1124	76927	5128
1125	76992	5059
1126	77077	4992
1127	77147	4924
1128	77227	4856
1129	77296	4788
1130	77360	4719
1131	77415	4650
1132	77482	4581
1133	77546	4513
1134	77617	4445
1135	77673	4375
1136	77751	4308
1137	77823	4239
1138	77896	4171
1139	77965	4103
1140	78032	4034
1141	78098	3966
1142	78178	3898
1143	78256	3830
1144	78345	3763
1145	78421	3695
1146	78488	3626
1147	78559	3558
1148	78621	3489
1149	78689	3421
1150	78768	3353
1151	78832	3284
1152	78908	3216
1153	78965	3147
1154	79034	3079
1155	79089	3010
1156	79167	2942
1157	79227	2873
1158	79299	2805
1159	79362	2736
1160	79428	2668
1161	79499	2599
1162	79568	2531
1163	79625	2462
1164	79695	2394
1165	79771	2326
1166	79855	2258
1167	79931	2189
1168	80010	2121
1169	80076	2053
1170	80151	1984
1171	80214	1916
1172	80287	1848
1173	80347	1779
1174	80423	1711
1175	80488	1642
1176	80562	1574
1177	80629	1505
1178	80699	1437
1179	80766	1368
1180	80834	1300
1181	80895	1231
1182	80973	1163
1183	81038	1095
1184	81109	1026
1185	81179	958
1186	81265	890
1187	81328	821
1188	81402	753
1189	81472	684
1190	81545	616
1191	81602	547
1192	81661	479
1193	81715	410
1194	81769	342
1195	81819	273
1196	81875	205
1197	81930	136
1198	81993	68
1199	82063	0
